id,user_id,master_client_id,custom_name,planting_area,cultures,planting_progress,is_top80_20,is_active,created_at,credit_limit,include_in_market_area
3abe4f0b-a259-4c48-bcc2-78b108742b2c,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,3c869c3e-2402-4ad8-97ee-c67173576de2,,,,0.00,f,t,2025-10-31 19:13:42.074736,,f
7ce205de-6528-4682-aa97-807adb7d8e09,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,cd422fa4-9626-4902-8c07-730b68f06f5c,,,,0.00,f,t,2025-10-31 19:13:42.749515,,f
b6f48ad9-0148-4216-833a-acee30182e65,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,0212e9c5-c1b9-40f5-a61a-494a522ddeb1,,,,0.00,f,t,2025-10-31 19:13:43.446495,,f
6121ec00-61f8-4dce-8759-d1b828953c28,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,cc6a205a-1889-4bf1-b533-20006f8dc027,,,,0.00,f,t,2025-10-31 19:13:45.49215,,f
e1099215-45fc-4313-89c8-09f427fdecc1,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,d43f7c22-50c0-4ee8-bcc3-097d1fe26af8,,,,0.00,f,t,2025-10-31 19:13:48.601691,,f
5c3a95b7-93f0-40cd-949e-5e11b385192c,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,ef0d062e-c3be-40dc-b775-96b5c05e7eef,,,,0.00,f,t,2025-10-31 19:13:49.640931,,f
5d110502-a8b2-489d-93d9-b0e9197fef0d,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,1aeb69a4-2c3b-4fb5-9381-f2d81d769f8b,,,,0.00,f,t,2025-10-31 19:13:50.574915,,f
1a622611-9555-4ffe-9277-126a40607211,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,06b4238d-3cb9-4839-8056-a60668502c4b,,,,0.00,f,t,2025-10-31 19:13:52.207293,,f
3f7ee965-5aa5-414c-8b6c-096e07928bec,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,09379062-e344-495c-b3df-fe59cd569901,,,,0.00,f,t,2025-10-31 19:13:53.710517,,f
0ecd3bf4-ee04-4bee-9ba0-f40f8a1b7499,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,f3934aed-32bc-4460-b591-b484c9b8a353,,,,0.00,f,t,2025-10-31 19:13:54.817034,,f
